句子索引,行号,原始文本
0,1,以 《评战犯求和》 为例。
1,1,"这是毛泽东主席于 1949 年 1 月 5 日为
新华社写的揭露国民党利用和平谈判来保存反革命势力的一系列评论
的第一篇。"
2,1,"本文一开头便揭露敌人的求和阴谋: 为了保存中国反动势
力和美国在华侵略势力，中国第一号战争罪犯国民党匪帮首领蒋介石
在今年元旦发表了一篇求和的声明。"
3,1,"接着提出敌人的反动论点: 只要
和议无害于国家的独立完整，而有助于人民的休养生息，只要神圣的
宪法不由我而违反，民主宪政不因此而破坏，中华民国的国体能够确"
4,8,"保，中华民国的法统不致中断，军队有确实的保障，人民能够维持其
自由的生活方式与目前最低的生活水准，则我个人更无复他求。"
5,8,"只要
和平果能实现，则个人的进退出处，绝不萦怀，而一惟国民的公意是
从。"
6,8,这些，就是战犯蒋介石求和的真正目的，也就是他的论点。
7,8,"紧跟
着，作者一针见血地戳破: 这样的求和声明实在可恶。"
8,8,"中国人民可以
由此知道，原来现在喧嚷着的所谓 ‘和平’，就是蒋介石这一伙杀人
凶犯及其美国主子所迫切需要的东西。"
9,8,"随后，对敌人的反动论点逐条
予以驳斥，并且树立起我方的论点: 蒋介石的所谓和平，乃是为了有
助于已被击败但尚未消灭的中国反动派的休养生息，以便休养好了之
后，卷土重来，扑灭革命。"
10,8,‘和平’ 就是为了这个。
11,8,"这个论点，正是
针对着敌人的反动论点树立起来的，给敌人以致命的打击。"
12,8,"文章最后
作出结论:"
13,21,"我们早就说过，蒋介石已经失了灵魂，只是一具僵尸，什么人也
不相信他了。"
14,25,"统观全文，它的中心思想是: 驳斥战犯蒋介石求和的罪恶阴谋，
指出蒋介石只是一具僵尸。"
15,25,"这个中心思想，既包括我方树立起来的论
点，又把结论概括进去，是议论文的驳论中的论点和结论二者的
综合。"
16,30,上文可以作为直接反驳对方的论点的驳论的代表。
17,31,"议论文中的驳论，除了直接反驳论点的以外，还有通过反驳对方
的论据从而驳倒对方的论点的。"
18,31,以 《友谊，还是侵略?》 为例。
19,31,"这是
毛泽东主席于 1949 年 8 月 30 日为新华社写的对于艾奇逊信件的评论。"
20,34,"美帝国主义，自从 1840 年帮助英国人进行鸦片战争起，直到
1949 年止，对中国人民干下了大量的侵略罪行。"
21,34,"但是，美帝国主义的
代言人艾奇逊却将侵略写成了 ‘友谊’，并且谎称许多年来种种善意
措施便是证据。"
22,34,"《友谊，还是侵略?》 一文，彻底驳斥了艾奇逊的谎
言。"
23,34,本文可分为三部分。
